Id, target
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\system32\\WerFaultSecure.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\system32\\mrt.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\system32\\svchost.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\system32\\wbem\\WmiPrvSE.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\SysWOW64\\wbem\\WmiPrvSE.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Microsoft Intune Management Extension\\ClientHealthEval.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Microsoft Intune Management Extension\\SensorLogonTask.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Microsoft Intune Management Extension\\Microsoft.Management.Services.IntuneWindowsAgent.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programdata%\\Microsoft\\Windows Defender Advanced Threat Protection\\DataCollection\\*\\OpenHandleCollector.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\WindowsApps\\Microsoft.GamingServices_*\\gamingservices.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Cisco\\Cisco AnyConnect Secure Mobility Client\\vpnagent.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Zoom\\bin\\CptHost.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Microsoft\\EdgeUpdate\\MicrosoftEdgeUpdate.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Google\\Update\\GoogleUpdate.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Splunk\\bin\\splunkd.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Avecto\\Privilege Guard Client\\DefendpointService.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Intel\\SUR\\QUEENCREEK\\x64\\esrv_svc.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Microsoft Monitoring Agent\\Agent\\HealthService.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Microsoft Monitoring Agent\\Agent\\MOMPerfSnapshotHelper.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Nexthink\\Collector\\Collector\\nxtsvc.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Splunk\\bin\\splunkd.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Azure Advanced Threat Protection Sensor\\*\\Microsoft.Tri.Sensor.Updater.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\CCM\\CcmExec.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\CCM\\SensorLogonTask.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\Temp\\Ctx-*\\Extract\\TrolleyExpress.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programdata%\\Citrix\\Citrix Receiver*\\TrolleyExpress.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programdata%\\Citrix\\Citrix Workspace *\\TrolleyExpress.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Citrix\\Citrix Workspace *\\TrolleyExpress.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%temp%\\Ctx-*\\Extract\\TrolleyExpress.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Quest\\ChangeAuditor\\Agent\\NPSrvHost.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Quest\\ChangeAuditor\\Service\\ChangeAuditor.Service.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\system32\\DriverStore\\FileRepository\\hpqkbsoftwarecompnent.inf_amd64_*\\HotKeyServiceUWP.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\system32\\CompatTelRunner.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Printer Properties Pro\\Printer Installer Client\\PrinterInstallerClient.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Printer Properties Pro\\Printer Installer Client\\PrinterInstallerClient.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Zscaler\\ZSATunnel\\ZSATunnel.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Zscaler\\ZSATunnel\\ZSATunnel.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\ManageSoft\\Security Agent\\mgssecsvc.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\ManageSoft\\Security Agent\\mgssecsvc.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Snow Software\\Inventory\\Agent\\snowagent.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Snow Software\\Inventory\\Agent\\snowagent.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,c:\\windows\\system32\\WerFaultSecure.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,c:\\windows\\system32\\wbem\\WmiPrvSE.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,c:\\windows\\SysWOW64\\wbem\\WmiPrvSE.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\system32\\WerFaultSecure.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\system32\\mrt.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\system32\\svchost.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\system32\\wbem\\WmiPrvSE.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\SysWOW64\\wbem\\WmiPrvSE.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Microsoft Intune Management Extension\\ClientHealthEval.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Microsoft Intune Management Extension\\SensorLogonTask.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Microsoft Intune Management Extension\\Microsoft.Management.Services.IntuneWindowsAgent.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programdata%\\Microsoft\\Windows Defender Advanced Threat Protection\\DataCollection\\*\\OpenHandleCollector.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\WindowsApps\\Microsoft.GamingServices_*\\gamingservices.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Cisco\\Cisco AnyConnect Secure Mobility Client\\vpnagent.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Zoom\\bin\\CptHost.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Microsoft\\EdgeUpdate\\MicrosoftEdgeUpdate.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Google\\Update\\GoogleUpdate.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Splunk\\bin\\splunkd.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Avecto\\Privilege Guard Client\\DefendpointService.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Intel\\SUR\\QUEENCREEK\\x64\\esrv_svc.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Microsoft Monitoring Agent\\Agent\\HealthService.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Microsoft Monitoring Agent\\Agent\\MOMPerfSnapshotHelper.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Nexthink\\Collector\\Collector\\nxtsvc.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Splunk\\bin\\splunkd.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Azure Advanced Threat Protection Sensor\\*\\Microsoft.Tri.Sensor.Updater.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\CCM\\CcmExec.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\CCM\\SensorLogonTask.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\Temp\\Ctx-*\\Extract\\TrolleyExpress.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programdata%\\Citrix\\Citrix Receiver*\\TrolleyExpress.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programdata%\\Citrix\\Citrix Workspace *\\TrolleyExpress.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Citrix\\Citrix Workspace *\\TrolleyExpress.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%temp%\\Ctx-*\\Extract\\TrolleyExpress.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Quest\\ChangeAuditor\\Agent\\NPSrvHost.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Quest\\ChangeAuditor\\Service\\ChangeAuditor.Service.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\system32\\DriverStore\\FileRepository\\hpqkbsoftwarecompnent.inf_amd64_*\\HotKeyServiceUWP.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%windir%\\system32\\CompatTelRunner.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Printer Properties Pro\\Printer Installer Client\\PrinterInstallerClient.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Printer Properties Pro\\Printer Installer Client\\PrinterInstallerClient.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Zscaler\\ZSATunnel\\ZSATunnel.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Zscaler\\ZSATunnel\\ZSATunnel.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\ManageSoft\\Security Agent\\mgssecsvc.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\ManageSoft\\Security Agent\\mgssecsvc.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles(x86)%\\Snow Software\\Inventory\\Agent\\snowagent.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,%programfiles%\\Snow Software\\Inventory\\Agent\\snowagent.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,c:\\windows\\system32\\WerFaultSecure.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,c:\\windows\\system32\\wbem\\WmiPrvSE.exe
9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,c:\\windows\\SysWOW64\\wbem\\WmiPrvSE.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%commonprogramfiles%\\adobe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%commonprogramfiles%\\microsoft shared
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%commonprogramfiles(x86)%\\adobe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%commonprogramfiles(x86)%\\microsoft shared
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programdata%\\app-v
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\acrobat
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\adobe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\firefox developer edition
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\foxit software
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\google
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\internet explorer
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft application virtualization\\client\\subsystems\\appvdllsurrogate32.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft application virtualization\\client\\subsystems\\appvdllsurrogate64.exe
7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,%programfiles%\\microsoft office 15
